correction_id,asset_id,occurred_at,actor_id,actor_role,before_status,after_status,reason,evidence_ref,authorization_outcome,outcome,warning,source_system,note
"MC-001","cam-001","2026-06-04T08:00:00Z","admin01","admin","available","available","Correct inconsistent administrative record.","AO-001","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."
"MC-002","cam-004","2026-06-04T11:00:00Z","student02","student","checked_out","maintenance","Correct inconsistent administrative record.","","UNAUTHORIZED","REJECTED","YES","admin_correction_portal","Actor is not authorized to perform administrative correction."
"MC-003","lap-003","2026-06-04T14:00:00Z","admin03","admin","maintenance","checked_out","Correct inconsistent administrative record.","","AUTHORIZED","REJECTED","YES","admin_correction_portal","Correction lacks sufficient evidence reference."
"MC-004","mic-001","2026-06-04T17:00:00Z","admin04","admin","available","available","Correct inconsistent administrative record.","AO-018","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."
"MC-005","mic-004","2026-06-04T20:00:00Z","student05","student","checked_out","maintenance","Correct inconsistent administrative record.","","UNAUTHORIZED","REJECTED","YES","admin_correction_portal","Actor is not authorized to perform administrative correction."
"MC-006","trip-003","2026-06-04T23:00:00Z","admin06","admin","maintenance","checked_out","Correct inconsistent administrative record.","e074","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."
"MC-007","tab-002","2026-06-05T02:00:00Z","admin07","admin","available","available","Correct inconsistent administrative record.","AO-010","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."
"MC-008","light-001","2026-06-05T05:00:00Z","student08","student","checked_out","maintenance","Correct inconsistent administrative record.","","UNAUTHORIZED","REJECTED","YES","admin_correction_portal","Actor is not authorized to perform administrative correction."
"MC-009","light-004","2026-06-05T08:00:00Z","admin09","admin","maintenance","checked_out","Correct inconsistent administrative record.","AO-013","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."
"MC-010","cam-003","2026-06-05T11:00:00Z","admin10","admin","available","available","Correct inconsistent administrative record.","","AUTHORIZED","REJECTED","YES","admin_correction_portal","Correction lacks sufficient evidence reference."
"MC-011","lap-002","2026-06-05T14:00:00Z","student11","student","checked_out","maintenance","Correct inconsistent administrative record.","","UNAUTHORIZED","REJECTED","YES","admin_correction_portal","Actor is not authorized to perform administrative correction."
"MC-012","lap-005","2026-06-05T17:00:00Z","admin12","admin","maintenance","checked_out","Correct inconsistent administrative record.","AO-005","AUTHORIZED","APPLIED","YES","admin_correction_portal","Authorized correction applied with audit evidence."